Bill Date,PayInvoice ID,Bill Number,PurchaseOrder,Bill Status,Is Inclusive Tax,Submitted By,Approved By,Submitted Date,Approved Date,Vendor Name,Location ID,Location Name,Due Date,Currency Code,Exchange Rate,Bill Type,Item Name,Product ID,SKU,UPC,MPN,EAN,ISBN,Brand,Account,Description,Quantity,Usage unit,Line Item Location ID,Line Item Location Name,Rate,Purchase Receive Number,Purchase Order Number,Bill Receive Status,Manually Received Quantity,Customer Name,Tax ID,Tax Name,Tax Percentage,Tax Amount,Tax Type,Is Landed Cost,Item Total,SubTotal,Discount Type,Is Discount Before Tax,Discount,Discount Amount,Entity Discount Percent,Entity Discount Amount,Discount Account,Total,Balance,Adjustment,Adjustment Description,Vendor Notes,Terms & Conditions
2025-01-16,4602503000007731192,PO-029_1,PO-029,Overdue,false,,,,,AP System Altenergy Power,4602503000009244225,Head Office,2025-01-16,USD,4.498001,Bill,APSYSTEMS QT2 2000 W 4 PANEL 3 PHASE MICRO INVERTER,4602503000002944049,D-3P-QT2-4T-1,,,,,APsystems,Finished Goods,Article no: 124056,40.00,Each,4602503000009244225,Head Office,250.00,PR-00109,PO-029,,,,,,,,,false,10000.00,56750.00,entity_level,true,0.00,0.0,0.00,0.000,,56750.00,56750.00,0.00,Adjustment,,
2025-01-16,4602503000007731192,PO-029_1,PO-029,Overdue,false,,,,,AP System Altenergy Power,4602503000009244225,Head Office,2025-01-16,USD,4.498001,Bill,APsystems Energy Communication Unit R,4602503000002944107,ECU-R,,,,,APsystems,Inventory Asset,Article no: 209018,40.00,pcs,4602503000009244225,Head Office,115.00,PR-00109,PO-029,,,,,,,,,false,4600.00,56750.00,entity_level,true,0.00,0.0,0.00,0.000,,56750.00,56750.00,0.00,Adjustment,,
2025-01-16,4602503000007731192,PO-029_1,PO-029,Overdue,false,,,,,AP System Altenergy Power,4602503000009244225,Head Office,2025-01-16,USD,4.498001,Bill,"AP system Bus Cable 3phase 5c (4mm2, H07,2.4m)",4602503000003410047,SKU-APCUT-02,,,,,APsystems,Finished Goods,Article no: 2322609122,160.00,pcs,4602503000009244225,Head Office,15.00,PR-00109,PO-029,,,,,,,,,false,2400.00,56750.00,entity_level,true,0.00,0.0,0.00,0.000,,56750.00,56750.00,0.00,Adjustment,,
2025-01-16,4602503000007731192,PO-029_1,PO-029,Overdue,false,,,,,AP System Altenergy Power,4602503000009244225,Head Office,2025-01-16,USD,4.498001,Bill,AP SYSTEM BUS CABLE 5C END CAP (TWO SEALS),4602503000003410060,SKU-APBC-03,,,,,APsystems,Finished Goods,Article no: 2062050012,50.00,pcs,4602503000009244225,Head Office,4.00,PR-00109,PO-029,,,,,,,,,false,200.00,56750.00,entity_level,true,0.00,0.0,0.00,0.000,,56750.00,56750.00,0.00,Adjustment,,
2025-01-16,4602503000007731192,PO-029_1,PO-029,Overdue,false,,,,,AP System Altenergy Power,4602503000009244225,Head Office,2025-01-16,USD,4.498001,Bill,AP SYSTEM BUS CABLE 5 WIRE T-CONN CAP,4602503000003410069,SKU-APBTC-01,,,,,APsystems,Finished Goods,Article No: 2061252032,50.00,pcs,4602503000009244225,Head Office,3.00,PR-00109,PO-029,,,,,,,,,false,150.00,56750.00,entity_level,true,0.00,0.0,0.00,0.000,,56750.00,56750.00,0.00,Adjustment,,
2025-01-16,4602503000007731192,PO-029_1,PO-029,Overdue,false,,,,,AP System Altenergy Power,4602503000009244225,Head Office,2025-01-16,USD,4.498001,Bill,APsystems Y Bus Cable Unlock Tool,4602503000002944098,APCUT-01,,,,,APsystems,Inventory Asset,Article No: 2353000002,30.00,pcs,4602503000009244225,Head Office,1.00,PR-00109,PO-029,,,,,,,,,false,30.00,56750.00,entity_level,true,0.00,0.0,0.00,0.000,,56750.00,56750.00,0.00,Adjustment,,
2025-01-16,4602503000007731192,PO-029_1,PO-029,Overdue,false,,,,,AP System Altenergy Power,4602503000009244225,Head Office,2025-01-16,USD,4.498001,Bill,"APsystems AC Connector (5C,40A,male)",4602503000003410106,SKU-APAC-01,,,,,APsystems,Finished Goods,Article No: 2301511002,80.00,pcs,4602503000009244225,Head Office,4.00,PR-00109,PO-029,,,,,,,,,false,320.00,56750.00,entity_level,true,0.00,0.0,0.00,0.000,,56750.00,56750.00,0.00,Adjustment,,
2025-01-16,4602503000007731192,PO-029_1,PO-029,Overdue,false,,,,,AP System Altenergy Power,4602503000009244225,Head Office,2025-01-16,USD,4.498001,Bill,"AC Connector (3 core, two seals, female)",4602503000003673056,SKU-APAC-03,,,,,APsystems,Inventory Asset,Article No: 2301512002,80.00,pcs,4602503000009244225,Head Office,4.00,PR-00109,PO-029,,,,,,,,,false,320.00,56750.00,entity_level,true,0.00,0.0,0.00,0.000,,56750.00,56750.00,0.00,Adjustment,,
2025-01-16,4602503000007731192,PO-029_1,PO-029,Overdue,false,,,,,AP System Altenergy Power,4602503000009244225,Head Office,2025-01-16,USD,4.498001,Bill,APSYSTEMS DS3 880 W 2 PANEL 1 PHASE MICRO INVERTER,4602503000002944023,D-1P-DS3-2T-1,,,,,APsystems,Finished Goods,Article No: 120018,10.00,Each,4602503000009244225,Head Office,125.00,PR-00109,PO-029,,,,,,,,,false,1250.00,56750.00,entity_level,true,0.00,0.0,0.00,0.000,,56750.00,56750.00,0.00,Adjustment,,
2025-01-16,4602503000007731192,PO-029_1,PO-029,Overdue,false,,,,,AP System Altenergy Power,4602503000009244225,Head Office,2025-01-16,USD,4.498001,Bill,"AP Eu Power Cord (1.5mm2 ,BC01, H07,5m)",4602503000003673034,SKU-APEPC-01,,,,,APsystems,Inventory Asset,Article No: 2337041134,10.00,pcs,4602503000009244225,Head Office,10.00,PR-00109,PO-029,,,,,,,,,false,100.00,56750.00,entity_level,true,0.00,0.0,0.00,0.000,,56750.00,56750.00,0.00,Adjustment,,
