Record name,Module Record ID,Record ID,Created Time,Last Modified Time,CF.Items,CF.Purchased Date,CF.Purchased Quantity,CF.Purchased Supplier,CF.Stock on Hand,CF.Purchased Price (if known)
RFQ-75,4602503000022095272,4602503000022095297,2026-01-22 09:54:48,2026-01-22 09:54:48,1,2026-01-06,200,Joo Ming Electrical,0,0
RFQ-78,4602503000022142001,4602503000022142009,2026-01-23 08:55:33,2026-01-23 08:55:33,1,2025-12-10,5,TNT Best,0,
RFQ-78,4602503000022142001,4602503000022142011,2026-01-23 08:55:33,2026-01-23 08:55:33,2,2025-12-10,50,TNT Best,0,
RFQ-78,4602503000022142001,4602503000022142013,2026-01-23 08:55:33,2026-01-23 08:55:33,3,2025-07-30,100,TNT Best,10,
RFQ-86,4602503000022142270,4602503000022142280,2026-01-23 10:51:33,2026-01-23 10:51:33,1,2025-10-17,450,Pusaco Industrial,100,
RFQ-86,4602503000022142270,4602503000022142282,2026-01-23 10:51:33,2026-01-23 10:51:33,2,2025-10-17,1200,Pusaco Industrial ,100,
RFQ-86,4602503000022142270,4602503000022142284,2026-01-23 10:51:33,2026-01-23 10:51:33,3,2025-10-17,1000,Pusaco Industrial,100,
RFQ-86,4602503000022142270,4602503000022142286,2026-01-23 10:51:33,2026-01-23 10:51:33,4,2025-10-17,500,Pusaco Industrial,120,
RFQ-87,4602503000022142305,4602503000022142313,2026-01-23 11:08:36,2026-01-23 11:08:36,2,2026-01-19,10,Joo Ming,6,
RFQ-87,4602503000022142305,4602503000022142311,2026-01-23 11:08:36,2026-01-23 11:08:36,1,2026-01-19,10,Joo Ming,2,
RFQ-88,4602503000022142332,4602503000022142336,2026-01-23 11:19:58,2026-01-23 11:19:58,1,2026-01-06,50,SB Four,30,
RFQ-89,4602503000022142381,4602503000022142391,2026-01-23 12:21:52,2026-01-23 12:21:52,1,2026-01-02,150,Winstar,30 pcs,
RFQ-89,4602503000022142381,4602503000022142393,2026-01-23 12:21:52,2026-01-23 12:21:52,2,2026-01-02,300,Winstar,79 pcs,
RFQ-89,4602503000022142381,4602503000022142395,2026-01-23 12:21:52,2026-01-23 12:21:52,3,2025-12-19,500,Winstar,100 pcs,
RFQ-89,4602503000022142381,4602503000022142397,2026-01-23 12:21:52,2026-01-23 12:21:52,4,2026-01-09,500,Winstar,108 pcs,
RFQ-91,4602503000022142537,4602503000022142541,2026-01-23 12:35:54,2026-01-23 12:35:54,1,2026-01-13,2000,Helukable ,50,
RFQ-92,4602503000022153379,4602503000022153389,2026-01-23 16:37:58,2026-01-23 16:37:58,1,2026-01-02,150,Winstar,30 pcs,
RFQ-92,4602503000022153379,4602503000022153391,2026-01-23 16:37:58,2026-01-23 16:37:58,2,2026-01-02,300,Winstar,79 pcs,
RFQ-92,4602503000022153379,4602503000022153393,2026-01-23 16:37:58,2026-01-23 16:37:58,3,2025-12-19,500,Winstar,100 pcs,
RFQ-92,4602503000022153379,4602503000022153395,2026-01-23 16:37:58,2026-01-23 16:37:58,4,2026-01-09,500,Winstar,108 pcs,
RFQ-97,4602503000022257096,4602503000022257100,2026-01-27 09:34:07,2026-01-27 09:34:07,1,2026-01-14,5,WCI,1,
RFQ-104,4602503000022308022,4602503000022308028,2026-01-28 09:44:15,2026-01-28 09:44:15,1,2025-07-17,250,Nikom Global,4,11
RFQ-104,4602503000022308022,4602503000022308030,2026-01-28 09:44:15,2026-01-28 09:44:15,2,2025-11-28,20,Nikom,0,75
RFQ-111,4602503000022296200,4602503000022296204,2026-01-28 16:03:31,2026-01-28 16:03:31,1,2026-01-06,200,Joo Ming,10 meter,0
RFQ-115,4602503000022358094,4602503000022358098,2026-01-29 16:23:45,2026-01-29 16:23:45,growatt 6kw 3p 2mppt s inverter,2025-06-10,1,helukabel,0,3010
