Item Name,SKU,Status,Opening Stock,Reorder Level
ABS REDUCER TEE 40 X 25 MM,T-0102,Active,12,
ABS REDUCER TEE 40 X 32 MM,T-0103,Active,7,
SS REDUCER ELBOW 32MM X 20MM,T-0105,Active,42,
SS TEE CONNECTION 1/2'',PART-000061,Active,50,
"SS ELBOW 1""",T-0106,Active,87,
"SS ELBOW 1/2""",T-0107,Active,64,
"SS ELBOW 3/4""",T-0108,Active,40,
"SS REDUCER SOCKET 3/4"" X 1/2""",T-0109,Active,10,
SS TEE CONNECTION 3/4'',T-0110,Active,17,
"SS ELBOW 1 1/4""",T-0111,Active,26,
"SS REDUCER ELBOW 1"" X 1/2""",T-0112,Active,11,
"SS REDUCER ELBOW 1"" X 3/4""",T-0113,Active,37,
"SS REDUCER SOCKET 1 1/4"" X 1""",T-0114,Active,18,
"SS REDUCER SOCKET 1"" X 1/2""",T-0115,Active,36,
"SS REDUCER TEE 1"" X 3/4""",T-0116,Active,3,
"SS SOCKET 1/2”, BSP",PART-000073,Active,8,
"SS REDUCER ELBOW 1 1/4"" X 1/2""",T-0118,Active,1,
"BRASS THREADED MALE ELBOW 1""",T-0123,Active,17,
"SS SOCKET 3/4""",T-0125,Active,36,
"BRASS THREADED MALE SOCKET 1""",PART-000110,Active,24,
"BRASS THREADED FEMALE SOCKET 1""",PART-000153,Active,158,
"SS ELBOW 1 1/2""",T-0130,Active,11,
"SS REDUCER SOCKET 1 1/2"" X 1 1/4""",T-0133,Active,2,
"SS REDUCER ELBOW 3/4""X 1/2""",T-0134,Active,27,
"SS REDUCER ELBOW 1 1/2"" X 1""",T-0135,Active,11,
"SS REDUCER ELBOW 1 1/4""X 1""",T-0136,Active,11,
"BRASS THREADED FEMALE ELBOW 1 """,T-0138,Active,6,
"BRASS ELBOW 1""",T-0139,Active,225,
"BRASS REDUCER ELBOW 1"" X 1/2""",T-0140,Active,23,
"BRASS REDUCER ELBOW 1"" X 3/4""",T-0141,Active,63,
"BRASS REDUCER SOCKET 1"" X 1/2""",T-0142,Active,30,
"BRASS REDUCER SOCKET 1"" X 3/4""",T-0143,Active,81,
"BRASS REDUCER TEE 1"" X 1/2""",T-0144,Active,45,
PVC THREADED FEMALE SOCKET 3/4'',T-0148,Active,0,
PVC THREADED FEMALE SOCKET 1 1/4'',T-0149,Active,28,
"PVC THREADED FEMALE SOCKET 1/2""",T-0150,Active,0,
"PVC ELBOW 1""",T-0151,Active,52,
PVC THREADED MALE SOCKET 1 1/4'',T-0154,Active,24,
"ABS ELBOW 1""",T-0155,Active,55,
"ABS ELBOW 3/4""",T-0156,Active,65,
"ABS THREADED FEMALE SOCKET 3/4""",T-0158,Active,27,
"ABS REDUCER SOCKET 1"" X 3/4""",T-0159,Active,55,
"ABS REDUCER SOCKET 3/4"" X 1/2""",T-0160,Active,70,
"ABS TEE 3/4""",T-0161,Active,90,
"ABS THREADED MALE SOCKET 3/4""",T-0162,Active,128,
ABS REDUCER TEE 25 MM X 20 MM,T-0164,Active,0,
ABS TEE 32 MM,T-0165,Active,11,
POLY TEE 25 MM,T-0166,Active,0,0
POLY TEE 32 MM,T-0167,Active,52,
"POLY THREADED MALE REDUCER SOCKET 1/2"" X 25 MM",T-0168,Active,45,
POLY SOCKET 20 MM,T-0169,Active,129,
POLY TEE 20 MM,T-0170,Active,55,
POLY REDUCER SOCKET 25 X 20 MM,T-0171,Active,94,
POLY REDUCER SOCKET 32 X 25 MM,T-0172,Active,55,
"POLY THREADED MALE SOCKET 3/4""",T-0173,Active,26,
POLY REDUCER ELBOW 25 X 20 MM,T-0174,Active,49,
POLY THREADED MALE SOCKET 32 MM,T-0176,Active,7,
"POLY THREADED FEMALE ELBOW 1/2""",T-0177,Active,46,
"POLY THREADED MALE REDUCER ELBOW 3/4""X 35 MM",T-0178,Active,76,
POLY ELBOW 20MM,T-0179,Active,150,
"POLY THREADED MALE REDUCER ELBOW 3/4""X 25 MM",T-0181,Active,13,
"POLY THREADED MALE REDUCER SOCKET 1/2"" X 20 MM",T-0182,Active,0,
"POLY REDUCER ELBOW 1/2"" X 25 MM",T-0183,Active,23,
POLY SOCKET 25 MM,T-0184,Active,18,
POLY SOCKET 32 MM,T-0185,Active,78,
POLY ELBOW 32MM,T-0186,Active,13,
POLY END CAP 25 MM,T-0187,Active,34,
POLY END CAP 32 MM,T-0188,Active,53,
"POLY NIPPLE 1""",T-0189,Active,3,
"PVC CUPLING 1 1/2""",T-0192,Active,8,
"PVC CUPLING 1 1/4""",T-0193,Active,50,
"PVC CUPLING 1""",T-0194,Active,52,
"PVC REDUCER ELBOW 1 X 3/4""",T-0195,Active,38,
"PVC THREADED FEMALE ELBOW 3/4""",T-0197,Active,0,
"PVC BALL COCK 1""",T-0198,Active,6,
POLY REDUCER TEE 25 X 25 X 20 MM,T-0199,Active,16,
POLY REDUCER TEE 32 X 32 X 25 MM,T-0200,Active,10,
"POLY TEE 1/2""",T-0201,Active,10,
POLY ELBOW 25 MM,T-0202,Active,2,
"POLY NIPPLE 3/4""",T-0203,Active,24,
"POLY THREADED MALE REDUCER ELBOW 1"" X 32 MM",T-0204,Active,11,
"PVC BALL COCK 1 1/2""",T-0205,Active,8,
"PVC BALL COCK 1 1/4""",T-0206,Active,48,
"BRASS TEE 1""",T-0208,Active,20,
BALL COCK 32MM,T-0210,Active,3,
"BRASS STOP COCK 1""",T-0211,Active,13,
"BRASS GATE VALVE 3/4""",T-0213,Active,8,
"ELBOW,1/2FNPTX5/8T 45108PPG",7873,Active,23,
"PVC BUSH 1/2""",T-0226,Active,0,
"CABLE WIRE – GREY, 300/500V, 3 CORE, 1.5MM2 X 2000MM",SMFG-000032,Active,4,
PVC REDUCER BUSH 32MM X 25MM,T-0266,Active,0,
PVC REDUCER BUSH 25MM X 20MM,T-0267,Active,0,
PVC REDUCER TEE 25MM X 20MM,T-0268,Active,0,
PVC REDUCER TEE 32MM X 20MM,T-0269,Active,0,
PVC ELBOW 32MM,T-0270,Active,0,
"RESILIENT PLUG 13A, 250V AC, PT130R-S",T-0231,Active,14,
"WASHER - SS304, M8 X OD18MM",PURC-000061,Active,"4,372",
"BOLT - SS304, M8 X 20MM X 1.25MM",PART-000012,Active,666,
"NUT – SS304, M8",PART-000043,Active,274,
HEATING ELEMENT - JOVEN,3401895,Active,2,
SENSOR POCKET 135 MM FOR PANEL,PART-000152,Active,12,
"COLLECTOR RAIL – 180L / 40G, AL, 1018MM",SMFG-000080,Active,2,
"COLLECTOR RAIL – 450L / 100G, AL, 3000MM",SMFG-000140,Active,8,
"COLLECTOR RAIL – 270L / 60G, 300L / 66G, 400L / 90G, AL, 1658MM",SMFG-000075,Active,0,
