Item Name,SKU,Status,Opening Stock,Reorder Level
"HOT PIPE J – 180L/40G, SM, COPPER, HALF HARD R250, OD22MM X T0.9MM",SMFG-000134,Active,0,
"HOT PIPE J – 300L/66G, SM, COPPER, HALF HARD R250, OD22MM X T0.9MM",SMFG-000135,Active,0,
"HOT PIPE EC – 150L/33G, SM, COPPER, HALF HARD R250, OD22MM X T0.9MM",SMFG-000175,Active,0,
"HOT PIPE EC – 180L/40G, SM, COPPER, HALF HARD R250, OD22MM X T0.9MM",SMFG-000176,Active,0,
VALVE MODULE KINETICO 2060F OD,11208,Active,0,
"(INACTIVE) SUMMER 270L SOLAR WATER HEATER - DIRECT",COMP – 000032,Active,0,
"PARTS KIT S – 270L/60G, 3/4”, 2 COLLECTORS, SM – R",COMP – 000027,Active,0,
"MERU MP136 HWM – 3 X 3KW PTV, IT[SS316, T1.5MM]",COMP-007866,Active,0,
"MERU MP136 HWM – 3 X 3KW BASIC, IT[SS316, T1.5MM]",COMP-006921,Active,0,
SUMMER 25E HCM-R - 3KW CARTON CEV,COMP-006181,Active,0,
SUMMER 25E HCM - 3KW WRAPED CEV,COMP-006175,Active,0,
"CHECK VALVE – 1”, BSP",PART-000092,Active,4,
"KINETICO UPPER DISTRIBUTOR, 4060F OD",13703,Active,0,
"INSTALLATION KIT – 180L/60G, 1 COLLECTORS, RAISER",COMP-002947,Active,0,
GX EVACUATED TUBE - B,S-COMP-000148,Active,0,
GX MANIFOLD - 20,S-COMP-000149,Active,0,
"KINETICO PREMIER SERIES® MACH 4060F OD, MACROLITE®/ACTIVATED CARBON",11232,Active,0,
AUX HEATING ELEMENT 1.5KW FOR MINI HEAT PUMP (APPLICABLE MODEL: 010600030058),CO-HF-01,Active,0,
TRANSFORMER FOR MINI HEAT PUMP (APPLICABLE MODEL: 010605000038),CO-HF-15,Active,0,
"(INACTIVE) SAFETY KIT - CEV",,Inactive,0,
MERU MP200 HFM - 9KW WRAPED BASIC,COMP-006925,Active,0,
MERU 66G VFM - 9KW,COMP-004946,Active,0,
"(INACTIVE) SAFETY KIT - PTV, 3/4'' X 1/2''",,Active,0,
"SUMMER 66G/300L VFM- FORCED CIRCULATION, 3KW",COMP-004845,Active,0,
"SUMMER 40G VFM - FORCED CIRCULATION, 3KW",COMP-003663,Active,0,
"ARMOURED CABLE - STEEL, 600V/1KV, 3 CORE, 2.5MM2",S-PART-000412,Active,700,
VALVE MODULE KINETICO 2030F OD,12661,Active,0,
"COLD PIPE J – 450L/66G, SM, COPPER, HALF HARD R250, OD22MM X T0.9MM",T-0273,Active,0,
"HOT PIPE J – 450L/66G, SM, COPPER, HALF HARD R250, OD22MM X T0.9MM",T-0274,Active,0,
SUMMER 25E HWM-L - 3KW WRAPED BASIC,COMP-006210,Active,0,
SUMMER 34E HWM-R - 3KW WRAP BASIC,COMP-007760,Active,0,
SUMMER 34E HWM-L - 3KW WRAP BASIC,COMP-007756,Active,0,
SUMMER 38E HCM - 3KW WRAPED BASIC,COMP-006380,Active,0,
SUMMER 38E HWM-R - 3KW WRAPED BASIC,COMP-006384,Active,0,
SUMMER 38E HWM-L - 3KW WRAPED BASIC,COMP-006388,Active,0,
SUMMER 45E HWM-L - 3KW WRAPED BASIC,COMP-007718,Active,0,
SUMMER 55E HWM-R - 3KW WRAPED BASIC,COMP-006511,Active,0,
SUMMER 68E HWM-R - 3KW WRAPED BASIC,COMP-006607,Active,0,
SUMMER 68E HWM-L - 3KW WRAPED BASIC,COMP-006639,Active,0,
SUMMER 90E HCM - 3KW WRAP BASIC,COMP-007217,Active,0,
SUMMER 90E HWM-R - 3KW CARTON BASIC,COMP-007345,Active,0,
SUMMER 90E HWM-L - 3KW CARTON BASIC,COMP-007473,Active,0,
"CALORIFIER CLAMP – AL, 70MM",SMFG-000070,Active,0,
"COLLECTOR CLAMP – AL, 56MM",SMFG-000071,Active,0,
COLLECTOR STRAP 180/300L,SMFG-000069,Active,0,
SUMMER® 300L CE SOLAR WATER HEATER,COMP-008038,Active,0,
SUMMER® 180L CE SOLAR WATER HEATER,COMP-008049,Active,0,
"PRESSURE RELIEF VALVE – 80KPA, 10KW, 1/4”",PART-000183,Active,0,
KINETICO CP213F OD - ACTIVATED CARBON,11244A,Active,0,
Test - Appliance A,Appliance-001,Active,10,
Test - Appliance B,Appliance - 002,Active,4,
"(INACTIVE) MERU MP90 HWM – 3KW WRAPPED PTV",COMP-007349,Inactive,0,
"SOLAR COLLECTOR L - MATT BLACK, 1938MM, BRAND SOLAR: SUMMER®-S",COMP-S-000020,Active,0,0
"PARTS KIT SL – 300L / 66G, 3/4”,  2 COLLECTORS, SM, PACKAGING – SOLAR: CARTON",COMP-002948,Active,0,
SUMMER 800L / 176G VFM - 9KW BASIC,COMP-000076,Active,0,
"PARTS KIT EC – 300L/66G, 3/4”, 2 COLLECTORS, SM, CARTON",COMP-005618,Active,0,
"CARTON – MERU, 90L/20G, T480MM X W480MM X L1020MM",PKG-000014,Active,0,
SUMMER 125E HWM - 9KW CARTON PTV,COMP-005812,Active,0,
"BMI 450L SOLAR WATER HEATER - DIRECT OC[GVAL 0.45MM], IT[SS304 1.5MM]",COMP-005669,Active,0,
440G OPEN WATER STORAGE TANK - VFM,COMP-003769,Active,0,
"CARTON – 450L/100G, T515MM X W515MM X L3370MM",PKG-000022,Active,0,
SUMMER 90E HFM - 3KW WRAP MAX,COMP-007030,Active,0,
SUMMER 300L / 66G VFM - 9KW,COMP-004964,Active,0,
SUMMER 135E HFM - 9KW WRAPED PTV,COMP-005972,Active,0,
"QUAD RING,125 PISTON",1550,Active,,
"DIST,ASY,30"" HUB&LAT,CH10848",10997,Active,,
"EXTERNAL POWER,EURO VERSION",12129,Active,,
"DIST,ASY,24""HUB&LAT,#5667",68363,Active,,
"DIST,ASY,36""HUB&LAT,#10849",68364,Active,,
L-1 ASY-2060F OD UT+L2,11210A,Active,,
"Brine Drum Kinetico 2060s, 4060s",7938A,Active,,
"BASE,MAIN-STD,CHECK STEM",8651D,Active,,
SUMMER 200E HFM - 3KW CARTON BASIC,COMP-006920,Active,,
SUMMER® SOLAR 300 STANDARD INSTALL KIT,COMP-000016,Active,0,
SUMMER® SOLAR 180 STANDARD INSTALL KIT,COMP-000085,Active,0,
SUMMER® SOLAR 450 STANDARD INSTALL KIT,COMP-000401,Active,0,
SUMMER® SOLAR ELECTRICAL CARE KIT,COMP-000403,Active,0,
Kinetico CP213F OD - Activated Carbon Complete System (Retail),KS-0001,Active,0,
Kinetico CP213F OD - Macrolite® Complete System (Retail),KS-0002,Active,0,
"Kinetico Premier Series® MACH 2100f OD, Macrolite® Complete System (Retail)",KS-0005,Active,0,
"Kinetico Premier Series® MACH 4060f OVERDRIVE®, Macrolite®/Activated Carbon Complete System (Retail)",KS-0006,Active,0,
SUMMER® 450SX Solar Hot Water Complete System (Retail),SOL-013,Active,0,
SUMMER® Choice 300 Solar Hot Water Complete System (Retail),SOL-011,Active,0,
SUMMER® SOLAR TOTAL CARE KIT,COMP-000402,Active,0,
Kinetico Premier Series® MACH 2100s OD,11128,Active,,
SUMMER 100E HFM - 3KW WRAPED BASIC,COMP-005718,Active,0,
SUMMER 100E HCM-R - 3KW WRAPED BASIC,COMP-007973,Active,0,
SUMMER 100E HWM-R - 3KW WRAPED BASIC,COMP-007969,Active,0,
SUMMER 150E HFM-R,COMP-000335,Active,0,
SUMMER 200E HFM-R - 3KW WRAPED BASIC,COMP-006155,Active,,
SUMMER 300E HFM-R,COMP-000339,Active,0,
"(INACTIVE) SUMMER E - Custom Size",COMP-WHC,Inactive,,
"(INACTIVE) SUMMER 180SM-C",COMP-000341,Inactive,,
"(INACTIVE) SUMMER 300SM-C",COMP-000342,Inactive,,
"(INACTIVE) SUMMER 180SM-T",COMP-000343,Inactive,,
"(INACTIVE) SUMMER 300SM-T",COMP-000344,Inactive,,
"(INACTIVE) SUMMER 180SX",SOL-002,Inactive,,
"(INACTIVE) SUMMER 180TX",SOL-003,Inactive,,
SUMMER 180GX,SOL-004,Active,,
"(INACTIVE) SUMMER 300SX",SOL-006,Inactive,,
"(INACTIVE) SUMMER 300TX",SOL-007,Inactive,,
SUMMER 300GX,SOL-008,Active,,
Solar Collector SUMMER - GX-20,S-COMP-000408,Active,,
Solar Collector SUMMER - GX-30,S-COMP-000409,Active,,
System Kit SUMMER GX - 180,COMP-000353,Active,0,
System Kit SUMMER GX - 300,COMP-000354,Active,,
System Kit SUMMER TX - 180,COMP-000355,Active,,
System Kit SUMMER TX - 300,COMP-000356,Active,,
"Installation Kit SUMMER GX - 180, Standard",COMP-000361,Active,,
"Installation Kit SUMMER GX - 180, Flat",COMP-000362,Active,,
"Installation Kit SUMMER GX - 300, Standard",COMP-000363,Active,,
"Installation Kit SUMMER GX - 300, Flat",COMP-000364,Active,,
"(INACTIVE) Heating Element - 3kW SS321",PURC-000015,Inactive,,
"(INACTIVE) Pressure Temperature Valve - 850kPA",PURC-000022,Inactive,,
"(INACTIVE) Isolation Barrier - 110~220VAC",PURC-000017,Inactive,,
"Kinetico Premier Series® MACH 4060s OD, Activated Carbon",11215,Active,,
"Kinetico MACH Prefilter 10"" NORYL (Indoor) 5Micron",KPRE-001,Active,,
"Kinetico MACH Prefilter 16"" NORYL (Indoor) 5Micron",KPRE-002,Active,,
KINETICO MEDIA - Macrolite® - 2100,FMED-003,Active,,
KINETICO MEDIA - Macrolite® - 4060,FMED-004,Active,,
Kinetico Premier Series® MACH 2030f OD (Empty),13963,Active,,
Kinetico Premier Series® MACH 2060f OD (Empty),11206,Active,,
Kinetico Premier Series® MACH 2100f OD (Empty),11134A,Active,,
Tank Connector Kit Kinetico 2030,14661,Active,0,
Tank Connector Kit Kinetico 2060/4060,14699,Active,0,
Tank Connector Kit Kinetico 2100,11029A,Active,0,
Valve Module Kinetico 2060S OD,11203,Active,,
Valve Module Kinetico 4060F OD MAC/AC,11224,Active,,
Valve Module Kinetico 2030-2060S,S882030,Active,,
Valve Module Kinetico 2100S,11131,Active,0,
"Kinetico CP213S OD (Filled, no Brine Tank)",11190DK,Active,,
Valve Module Kinetico CP213F,11264,Active,0,
Valve Module Kinetico CP213S,11156,Active,0,
Cartridge Kinetico Chloramine Guard K5 Drinking Water Station®,13766,Active,,
Drinking Water Faucet Kinetico - Chrome,11450B,Active,,
Installation Kit Kinetico DWS,DINS-001,Active,,
Installation Kit Kinetico MACguard® 7500 VOC/Lead,14938A,Active,,
Storage Tank Kinetico QuickFlo 3 Gallons,9496,Active,,
Storage Tank Kinetico Air Charge 10 Gallons,4461,Active,,
"(INACTIVE) Boiler Installation (POU)",BCGS-001,Inactive,,
"(INACTIVE) Boiler Installation (Central)",BCGS-002,Inactive,,
"(INACTIVE) Repositioning Boiler (Same Day)",BCGS-004,Inactive,,
"(INACTIVE) Relocating Boiler",BCGS-005,Inactive,,
"(INACTIVE) POE Water Treatment Installation",BCGS-006,Inactive,,
"(INACTIVE) POU Water Treatment Installation",BCGS-007,Inactive,,
"(INACTIVE) Repositioning POE Water Treatment (Same Day)",BCGS-008,Inactive,,
"(INACTIVE) Repositioning POU Water Treatment (Same Day)",BCGS-009,Inactive,,
"(INACTIVE) Relocating POE Water Treatment",BCGS-010,Inactive,,
"(INACTIVE) Relocating POU Water Treatment",BCGS-011,Inactive,,
"(INACTIVE) Basic Water Test - Chlorine/pH/Hardness/Iron",BCHC-001,Inactive,,
KINETICO MEDIA - Macrolite® - Top Up,FMED-005,Active,,
Cartridge Kinetico Purefecta/VOC Set K5,DCAR-002,Active,,
"(INACTIVE) General Work",BCGS-015,Inactive,,
"(INACTIVE) Boiler Dismantling",BCGS-016,Inactive,,
"(INACTIVE) POE Water Treatment Dismantling",BCGS-018,Inactive,,
"(INACTIVE) POU Water Treatment Dismantling",BCGS-019,Inactive,,
"(INACTIVE) POU Water Treatment Cartridge Replacement",BCGS-020,Inactive,,
POU Water Treatment Cartridge Courier - 1.3kg Peninsular,BCGS-021,Inactive,,
POU Water Treatment Cartridge Courier - 1.3kg Sabah/Sarawak,BCGS-022,Inactive,,
POU Water Treatment Cartridge Courier - 2.4kg Peninsular,BCGS-023,Inactive,,
POU Water Treatment Cartridge Courier - 2.4kg Sabah/Sarawak,BCGS-024,Inactive,,
Valve Module Kinetico 2100F,11143,Active,0,
SUMMER Air Heatpump HF-15,COMP-000389,Active,,
SUMMER Air Heatpump HF-22,COMP-000390,Active,,
SUMMER Air Heatpump HF-30,COMP-000391,Active,0,
SUMMER Air Heatpump HF-45,COMP-000392,Active,,
SUMMER Air Heatpump HF-60,COMP-000393,Active,,
"Installation Kit SUMMER - 180, Metal Deck",COMP-000395,Active,,
"Installation Kit SUMMER - 300, Metal Deck",COMP-000398,Active,,
"Installation Kit SUMMER - 180, Cyclone",COMP-000394,Active,,
"Installation Kit SUMMER - 300, Cyclone",COMP-000397,Active,,
"Installation Kit SUMMER - 180, Raiser, Custom",COMP-000396,Active,,
"Installation Kit SUMMER - 300, Raiser, Custom",COMP-000399,Active,,
"(INACTIVE) Installation Kit SUMMER - Custom",COMP-000400,Inactive,,
"(INACTIVE) Heating Element - 3kW SS316",PURC-000229,Inactive,,
Calgon HP 2-50VS - 0.55kW,S-COMP-000047,Active,,
Calgon HP 4-50VS - 1.1kW,S-COMP-000048,Active,,
Calgon HP 8-40VS - 1.5kW,S-COMP-000049,Active,,
"(INACTIVE) 360° W.A.T.E.R. Assessment",BCHC-003,Inactive,,
"(INACTIVE) Solar Boiler Care Service - Standard Access",BCMS-001,Inactive,,
"(INACTIVE) Solar Boiler Care Service - Non-Standard Access",BCMS-002,Inactive,,
"(INACTIVE) Boiler Care Service - Standard Access",BCMS-003,Inactive,,
"(INACTIVE) Macrolite Filter Care Service - Standard Access",BCMS-004,Inactive,,
"(INACTIVE) K5 Filter Care Service - Standard Access, Pre/Post Base Cartridge",BCMS-005,Inactive,,
"(INACTIVE) Solar Boiler Care Kit - TX",BCMK-002,Inactive,,
"(INACTIVE) Boiler Care Kit - CEV",BCMK-003,Inactive,,
"(INACTIVE) Boiler Care Kit - Max",BCMK-004,Inactive,,
"(INACTIVE) Macrolite Filter Care Kit - 2030F, 2060F",BCMK-005,Inactive,,
"(INACTIVE) Macrolite Filter Care Kit - 2100F",BCMK-006,Inactive,,
"(INACTIVE) Solar Boiler Genuine Care Plan - Standard Access",BCCP-X01,Inactive,,
"(INACTIVE) Solar Boiler Genuine Care Plan - TX Standard Access",BCCP-X02,Inactive,,
"(INACTIVE) Macrolite Filter Genuine Care Plan - 2100F, Standard Access",BCCP-X03,Inactive,,
"(INACTIVE) K5 Filter Genuine Care Plan - Standard Access, Pre/Post Base Cartridge",BCCP-X04,Inactive,,
"(INACTIVE) Celebrate CNY 2020 18%",BCPR-001,Inactive,,
"(INACTIVE) Celebrate CNY 2020 28%",BCPR-002,Inactive,,
"Distribution Board - 125A, 3 Phase",PART-000350,Active,,
SUMMER® Red - Top Up,TPDP-001,Active,,
Summer® Solar Genuine Care Plan - 2+1,BCCP-001,Active,,
"(INACTIVE) Summer® Solar Genuine Care Plan - Total Care",BCCP-002,Inactive,,
Kinetico FC-550 Genuine Care Plan - 2+1,BCCP-003,Active,,
"(INACTIVE) SUMMER 300SM-CE",COMP-000369,Inactive,,
"(INACTIVE) SUMMER 300CE",SOL-009,Inactive,,
"(INACTIVE) SUMMER 180CE",SOL-010,Inactive,,
"(INACTIVE) SUMMER 180SM-CE",COMP-000368,Inactive,,
"(INACTIVE) Summer® Solar Genuine Care Plan - Extended Warranty",BCCP-004,Inactive,,
System Kit SUMMER S - 450,COMP-000357,Active,,
"BMG 150L SOLAR WATER HEATER DIRECT - OC[COLOURBOND SILVER], IT[SPCC, 2.5MM]",COMP-005634,Active,0,
"BMG 300L SOLAR WATER HEATER DIRECT - OC[COLOURBOND SILVER], IT[SPCC, 2.5MM]",COMP-D-000016 ,Active,0,
"BMG SOLAR COLLECTOR MATT BLACK - 1938MM, TRAYBOX: AL",COMP-008032,Active,0,
HEATING ELEMENT CE SET ROUND - 3kW (INCLUSIVE OF THERMAL LIMITER & THERMOSTAT),PART-000190,Active,0,
HEATFIRST AIR SOURCED HEATPUMP - 120kW,COMP-000818,Active,0,
"THERMOSTAT – KP79, SINGLE PHASE, 2KW, 0°C – 150°C",RAWM-000195,Active,0,
"Kinetico Elbow – Male 3/8T X 1/4NPT, MGA6ME4, PlusVX, QuickFlo, A200, K5",8551A,Active,0,
SUMMER 34E HCM - 3KW CARTON BASIC,COMP-007762,Active,1,
SUMMER 450GX,SOL-022,Active,0,
"CARTON – MERU, 38L/8.5G, T405MM X W395MM X L675MM",PKG-000025,Active,0,
Factory Custom Service,BCGS-034,Active,,
"INACTIVE Check Valve - Brass, 1/2"" BSP",PURC-000003,Inactive,,
WCI FACTORY CUSTOM SERVICE,IHSV-000002,Active,,
Distribution Board for Heat Pumps (General),T-0279,Active,0,
SUMMER 200E VFM -9KW CARTON BASIC,COMP-003783,Active,0,
"(INACTIVE) SUMMER 25E HCM-R",COMP-000317,Inactive,,
"(INACTIVE) SUMMER 25E HWM-R",COMP-000319,Inactive,,
"(INACTIVE) SUMMER 55E HCM-R",COMP-000321,Inactive,,
"(INACTIVE) SUMMER 55E HWM-R",COMP-000323,Inactive,,
"(INACTIVE) SUMMER 75E HCM-R",COMP-000325,Inactive,,
"(INACTIVE) SUMMER 75E HWM-R",COMP-000327,Inactive,,
"(INACTIVE) Calgon HP 4-40PC - 0.75kW",S-COMP-000045,Inactive,,
SUMMER 1139L / 250G VFM -9KW BASIC,COMP-002936,Active,0,
SUMMER 1139L / 250G VFM -9KW CIRCULATION BASIC,COMP-000207,Active,0,
FOREIGN STORAGE HEATER 50L OR SMALLER,T-0280,Active,0,
FOREIGN STORAGE HEATER 100L OR SMALLER,T-0281,Active,0,
FOREIGN STORAGE HEATER 150L OR SMALLER,T-0282,Active,0,
FOREIGN SOLAR HEATER 200L OR SMALLER,T-0283,Active,0,
FOREIGN SOLAR HEATER 300L OR SMALLER,T-0284,Active,0,
FOREIGN SOLAR HEATER 400L OR SMALLER,T-0285,Active,0,
SUMMER 1000L / 220G VFM -9KW BASIC,COMP-002784,Active,0,
SUMMER 500L / 132G VFM -9KW BASIC,COMP-000678,Active,0,
MERU MP135 HFM - 9KW WRAPPED BASIC,COMP-005978,Active,0,
Thermal Cut Off 3 Phase,,Active,,
Summer® SOLAR GENUINE CARE PLAN - DIRECT TOTAL 3 CARE SERVICES,BCCP-005,Active,0,
Summer® SOLAR GENUINE CARE PLAN - DIRECT TOTAL 2 CARE SERVICES,BCCP-006,Active,0,
Summer® SOLAR GENUINE CARE PLAN - INDIRECT TOTAL 4 CARE SERVICES,BCCP-008,Active,0,
Summer® SOLAR GENUINE CARE PLAN - INDIRECT TOTAL 3 CARE SERVICES,BCCP-009,Active,0,
Summer® SOLAR GENUINE CARE PLAN - INDIRECT TOTAL 2 CARE SERVICES,BCCP-010,Active,0,
Summer® SOLAR GENUINE CARE PLAN - INDIRECT TOTAL 1 CARE SERVICES,BCCP-011,Active,0,
MERU MP 2250L / 500G VFM - 27KW BASIC,COMP-000498,Active,0,
Valve Module Kinetico CP213S,S88213S,Active,,
"(INACTIVE)Cartridge Kinetico Membrane K5 Drinking Water Station®",12752,Inactive,,
Cartridge Kinetico QCM350+,200-0001-CART,Active,,
Cartridge Kinetico SMF IC600,200-0002-CART,Active,,
Cartridge Kinetico SMF IC614,200-0003-CART,Active,,
"CARTRIDGE KINETICO MACH Prefilter 10"" 5Micron Reusable",11827,Active,,
Basic W.A.T.E.R. Assessment,BCHC-002,Active,,
Valve Module Kinetico CP213F,KCSK-001,Active,,
"(Inactive) - KINETICO POE FILTER - CP213F, OD, CARBON, 10YR",,Inactive,,
COLD PIPE S – 180L/40G,S-PART-000527,Active,,
HOT PIPE S – 180L/40G,S-PART-000528,Active,,
"KINETICO HYDRUS MEDIA TANK - MULTIPLEX MEDIA TANK 30"" X 72"", MACROLITE, HF 130M",H12281,Active,0,
MERU MP 125 HCM - 9KW WRAP BASIC,COMP-005778,Active,0,
SUMMER 300L / 66G HFM - 9KW BASIC,COMP-004956,Active,0,
KINETICO MEDIA - Macrolite® - CP213,FMED-006,Active,,
ALUMINIUM BRACKET FOR CALGON PUMP,T-0288,Active,0,
"STICKER LOGO – SUMMER, 34.7” X 12""",PART-000077,Active,0,
SUMMER INS3.8 WHITE,700-IWH-003,Active,0,
SUMMER INS3.8 BLACK DC,700-IWH-002,Active,0,
"KINETICO QUAD RING,CON/DRAIN 1590(BLUE)",8187A,Active,0,
"KINETICO VALVE,BALL 90 3/8""Tx3/8""STEM",11667,Active,0,
BRASS BUSH - 22MM X 15MM,PART-000199,Active,0,
MERU MP136 VFM - 9KW WRAPPED PTV,COMP-D-002699-136-VFM,Active,0,
SUMMER 600L / 132G VFM - 9KW BASIC,TEMP-001,Active,0,
SUMMER 600L / 132G VFM - 18KW BASIC,TEMP-002,Active,0,
MERU MP135 HFM - 9KW WRAPPED PTV,COMP-005976,Active,0,
MERU MP136 VFM - SS316 9KW WRAPPED PTV,COMP-D-002699-136-VFM-SS316,Active,0,
KINETICO PREMIER SERIES® MACH 4060 F TOTAL CARE KIT,KCSK-006,Active,0,
"CARTON – SUMMER, 450L/100G, T515MM X W515MM X L3370MM",PKG-000019,Active,0,
SUMMER 2250L / 500G HFM - 9KW BASIC,COMP-006306,Active,0,
SUMMER 2250L / 500G HFM - 18KW BASIC,COMP-006322,Active,0,
"[SN] MP55 Electric Heater - [Outdoor]",COMP-006535,Active,0,
"SUMMER AIR SOURCE ALL IN ONE HEAT PUMP, 300L, HFM",TEMP-003,Active,0,
"SUMMER 300E BASIC - 3KW, VFM, WRAPPED, WEATHER",COMP-004912,Active,0,
FILTER MEDIA – GREENSAND,T-0289,Active,0,
KINETICO CP213F OD - EMPTY,11289,Active,0,
"KINETICO HYDRUS MEDIA TANK - MULTIPLEX MEDIA TANK 42"" X 72"", MACROLITE, HF 142M",H12333,Active,0,
KINETICO HYDRUS MEDIA TANK - MULTIPLEX MEDIA TANK,H12280,Active,0,
KINETICO CP213F OD - GREENSAND,T-0290,Active,0,
MERU MP136 HFM - 9KW SS316 CARTON PTV,COMP-D-002699-HFM-SS316,Active,0,
SUMMER  2650L / 700G VFM - 9KW,COMP-002472,Active,0,
SUMMER 3636L / 800G VFM - 9KW,COMP-002545,Active,0,
"STOP COCK 2""/50MM",T-0293,Active,0,
"STOP COCK 3""/80MM",T-0294,Active,0,
MERU MP15 HWM-L - 3KW SS316 WRAPED CEV,COMP-000584,Active,0,0
"Angle Bar Mild Steel 2"" X 2"", 3MM X 4FT LENGTH",T-0307,Active,0,
"SS REDUCING NIPPLE 50MM X 40MM / 2"" X 1 1/2""",T-0310,Active,0,
"EXTRUSION – AL ALLOY, 6063-T5, SECTION 18126 X L5030MM",RAWM-000034,Active,0,
SS UNION 80MM,T-0315,Active,0,
BRASS GATE VALVE 80MM,T-0316,Active,0,
PPR REDUCING SOCKET 75MM X 63MM,T-0317,Active,0,
"PPR THREADED MALE ADAPTOR 75MM X 2 1/2""",T-0318,Active,0,
SS HEXAGON BUSH 80MM X 65MM,T-0320,Active,0,
PPR PIPE 032MM X 4M,T-0321,Active,0,
SS UNION 40MM,T-0322,Active,0,
"SS NIPPLE 1.5"" / 40MM",T-0323,Active,0,
"BRASS GATE VALVE 1.5"" / 40MM",T-0324,Active,0,
SS HEXAGON BUSH 50MM X 25MM,T-0325,Active,0,
SS HEXAGON BUSH 25MM X 15MM,T-0326,Active,0,
APPLIANCES DECOMMISSIONING SERVICE,BCGS-038,Active,,
SS HEXAGON BUSH 40MM X 25MM,T-0327,Active,0,
PVC Solvent Cement,T-0328,Active,0,
"Copper Compression Coupling 28 MM x 1"" C xMI",T-0330,Active,0,
"Copper Compression Elbow 28 MM x 1"" C xMI",T-0331,Active,0,
MERU MP90 HWM - 3KW SS316 WRAPED BASIC,COMP-002826,Active,0,5
GRUNDFOS UPA 120 - Head 8m,99553568,Active,0,
SWITCH SOCKET 13A WEATHERPROOF,T-0334,Active,0,0
"WIRE CASING SQUARE PVC 1.5"" x 1'",T-0335,Active,0,0
COPPER TUBING CUTTER 3-28 MM,T-0336,Active,0,0
SUMMER 200E HCM - 3KW WRAPED BASIC,COMP-002830,Active,0,
PPR Union 63MM,MISC-F,Active,0,
"STICKER LOGO - MERU, ORANGE TISSUE T1, W2"" X L4""",PART-000023,Active,0,
KINETICO DWS Plus Deluxe VX (OUTDATED),9353F,Active,0,
THERMOSTAT KNOB – 30-85°C,RAWM-000027,Active,0,
SUMMER 180L CONCEAL TANK TRAY,T-0346,Active,0,
"TSUNAMI MUS-400 SUBMERSIBLE PUMP, 0.4kW",TSUNAMI MUS-400,Active,0,
"CARTON – MERU, 75L",PKG-000029,Active,0,
BATTERY 12V 100AH,6-CNJ-100,Active,0,
BATTERY 12V 200AH,6-CNJ-200,Active,0,
RUBBER FLEXIBLE UNION JOINT 50MM,T-0347,Active,0,
PINGALAX PACA EV CHARGER - 7KW,J5JEU7/230,Active,0,
PINGALAX PACA EV CHARGER - 11KW,J5JEU11/230,Active,0,
PINGALAX PACA EV CHARGER - 22KW,J5JEU22/230,Active,0,
Courier - Sabah/Sarawak,BCGS-040,Active,,
Courier - Singapore,BCGS-041,Active,,
"TERMINAL BLOCK SET – ZNAL, 3PHASE",SMFG-000008,Active,,
PILOT LIGHT SET – 440V,SMFG-000025,Active,,
"THERMOSTAT SET – 3P, 415VAC, 30°C-75",SMFG-000002,Active,,
MERU 88G VFM 9KW,COMP-005400,Active,0,
AVENTURA POE FILTER - 3072,T-0348,Active,0,
MERU MP 150 HFM - 3KW PTV,COMP-006134,Active,0,
MERU MP 125 HFM - 3KW WRAP PTV,COMP-005856,Active,0,
SPRING SCALE 10kg,T-0349,Active,,
"PU PLUG – BLACK, RUBBER",PART-000035,Active,0,
HEADLIGHT SATA MULTI-FUNCTION,90902,Active,,
"PIPE - PVC, GREY, 50MM, 5.8M",T-0339,Active,0,
PVC TEE 50MM,T-0340,Active,0,
PVC ELBOW 50MM,T-0341,Active,0,
PVC DOUBLE UNION BALL 50MM,T-0350,Active,0,
"ESTEEL STORAGE TANK 1500L, VRB WITH STAND",E1500S,Active,0,
"SHEET METAL – ZNAL, T0.45MM X W1219MM X L2266MM",RAWM-000078,Active,,
"KINETICO MEDIA – GRANULE ACTIVATED CARBON, 2100F",T-0352,Active,0,
"KINETICO MEDIA – GRANULE ACTIVATED CARBON, 4060F",T-0353,Active,0,
"PIPE WRENCH 9"" G-TYPE",T-0354,Active,1,0
"ADJUSTABLE WRENCH 12""",T-0355,Active,3,0
"ADJUSTABLE WRENCH 15""",T-0356,Active,0,0
COMBI SPANNER 13MM,T-0357,Active,3,0
"PARTS KIT S – 180L / 40G, 3/4”, 1 COLLECTORS",COMP-005625,Active,0,0
COMBI SPANNER 14MM,T-0358,Active,0,0
COMBI SPANNER 15MM,T-0359,Active,1,0
COMBI SPANNER 21MM,T-0360,Active,0,0
COMBI SPANNER 24MM,T-0361,Active,0,0
COMBI SPANNER 25MM,T-0362,Active,0,0
COMBI SPANNER 32MM,T-0363,Active,0,0
STAINLESS STEEL PIPE CUTTER 0-42MM,T-0364,Active,5,0
FLAT SCREWDRIVER LONG,T-0366,Active,1,0
PHILIPS SCREWDRIVER LONG,T-0367,Active,0,0
T SPANNER 10MM,T-0368,Active,2,0
T SPANNER 13MM,T-0369,Active,2,0
FLEXIBLE COMBI SOCKET WRENCH 13MM,T-0370,Active,0,0
FLEXIBLE COMBI SOCKET WRENCH 15MM,T-0371,Active,0,0
COMBINATION RACHET 13MM,T-0372,Active,0,0
COMBINATION RACHET 15MM,T-0373,Active,0,0
MEASURING TAPE 5M,T-0374,Active,0,0
